Lið,Nafn,Lið,Leikir,Varin,% Varsla,xS,+/-,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
KA,Ágúst Elí Björgvinsson,ka,12,14.3,35.1,13.2,+1.1,26.5,1.2,25.5,0.0,0.2,1.3,0.5,0.0,0.0,0.0
Afturelding,Einar Baldvin Baldvinsson,umfa,21,9.1,30.9,9.6,-0.5,20.5,0.7,24.1,0.0,0.1,0.4,0.1,0.0,0.1,0.0
Haukar,Grétar Ari Guðjónsson,haukar,13,6.8,28.9,7.0,-0.2,16.8,0.5,26.9,0.1,0.2,0.1,0.0,0.0,0.0,0.0
Afturelding,Davíð Hlíðdal Svansson,umfa,3,1.0,30.0,1.0,0.0,2.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haukar,Aron Rafn Eðvarðsson,haukar,23,8.2,31.7,8.4,-0.2,17.7,1.0,36.9,0.1,0.1,0.2,0.1,0.0,0.1,0.0
Valur,Björgvin Páll Gústavsson,valur,32,11.7,30.5,12.2,-0.5,26.7,1.1,36.6,0.0,0.6,0.9,0.2,0.1,0.0,0.0
IR,Ólafur Rafn Gíslason,ir,22,8.3,27.3,8.8,-0.5,22.2,0.5,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH,Birkir Fannar Bragason,fh,1,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selfoss,Alexander Hrafnkelsson,selfoss,22,11.0,28.2,11.6,-0.6,28.0,0.5,16.4,0.0,0.3,0.8,0.5,0.0,0.0,0.0
Stjarnan,Adam Thorstensen,stjarnan,14,10.6,31.4,10.9,-0.3,23.1,0.4,18.2,0.0,0.0,0.4,0.1,0.0,0.0,0.0
FH,Daníel Freyr Andrésson,fh,33,5.7,30.2,5.9,-0.2,13.2,0.6,24.7,0.0,0.1,0.2,0.0,0.0,0.0,0.0
HK,Jovan Kukobat,hk,7,3.7,29.2,3.6,+0.1,9.0,0.6,26.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0
Valur,Arnar Þór Fylkisson,valur,5,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,Brynjar Vignir Sigurjónsson,hk,15,7.9,28.6,8.0,-0.1,19.6,0.5,28.6,0.0,0.1,0.2,0.1,0.0,0.0,0.0
Stjarnan,Sigurður Dan Óskarsson,stjarnan,21,5.0,27.6,5.2,-0.2,13.0,0.5,23.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0
IBV,Petar Jokanovic,ibv,20,9.3,31.0,9.0,+0.3,20.6,0.8,28.1,0.0,0.0,0.3,0.3,0.0,0.0,0.0
HK,Róbert Örn Karlsson,hk,23,5.4,26.4,5.7,-0.3,15.0,0.3,25.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
FH,Jón Þórarinn Þorsteinsson,fh,33,7.6,34.2,7.1,+0.5,14.6,0.5,23.9,0.0,0.2,0.2,0.1,0.0,0.0,0.0
Haukar,Magnús Gunnar Karlsson,haukar,22,3.2,28.8,3.3,-0.1,7.9,0.3,25.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
