Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
IBV,Róbert Sigurðarson,ibv,16,0.4,100.0,0.26,+0.12,0.0,0,0.1,0.1,0.1,100.0,0.0,0.1,1.00,1.00,0.5,0.4,0.2,0.4,2.8,0.1,0.6,0.1
KA,Einar Rafn Eiðsson,ka,20,3.5,67.6,3.32,+0.13,2.1,84.0,0.3,1.5,2.5,61.2,0.4,1.2,1.30,2.13,5,0.1,0.1,0.0,0.1,0.0,0.0,0.0
FH,Jón Bjarni Ólafsson,fh,30,3.5,77.4,3.25,+0.28,0.0,0,0.8,0.2,0.3,71.4,0.0,1.3,0.13,0.18,3.7,0.2,0.4,0.3,1.3,0.1,0.5,0.0
KA,Daníel Matthíasson,ka,22,0.1,100.0,0.07,+0.02,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.00,0.00,0.1,0.5,0.4,0.1,5.3,0.3,0.4,0.0
IBV,Ísak Rafnsson,ibv,14,0.1,100.0,0.05,+0.02,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.00,0.00,0.1,0.0,0.1,1.4,0.7,0.0,0.1,0.1
Haukar,Ólafur Ægir Ólafsson,haukar,29,2.0,59.0,2.07,-0.03,0.0,0,0.7,1.9,2.7,70.9,0.2,1.2,1.56,2.19,3.9,0.1,0.2,0.2,1.2,0.0,0.3,0.1
Fram,Arnar Snær Magnússon,fram,23,0.9,75.0,0.88,+0.03,0.0,0,0.2,0.1,0.1,100.0,0.0,0.3,0.33,0.33,1,0.2,0.1,0.0,0.1,0.0,0.1,0.0
FH,Leonharð Þorgeir Harðarson,fh,23,0.8,46.2,0.91,-0.13,0.0,0,0.5,0.6,0.8,73.7,0.0,0.4,1.40,1.90,1.4,0.3,0.4,0.0,0.2,0.0,0.2,0.0
Haukar,Brynjólfur Snær Brynjólfsson,haukar,26,1.3,65.4,1.39,-0.08,0.0,0.0,0.0,0.2,0.3,66.7,0.0,0.1,2.00,3.00,1.5,0.3,0.1,0.0,0.2,0.0,0.1,0.0
Stjarnan,Sveinn Andri Sveinsson,stjarnan,3,0.7,66.7,0.76,-0.09,0.0,0,1.3,1.3,2.3,57.1,2.0,1.3,1.00,1.75,2,0.3,0.3,0.0,1.3,0.0,0.7,0.0
