side,jersey,name,goalkeeper,goals,yellow,twoMin,red,points
away,6,Arnór Snær Óskarsson,false,15,0,1,0,29
home,25,Ómar Darri Sigurgeirsson,false,11,0,1,0,21
home,42,Kristófer Máni Jónasson,false,7,0,0,0,15
away,4,Bjarni I Selvindi,false,7,0,0,0,15
home,48,Símon Michael Guðjónsson,false,5,0,0,0,11
home,34,Garðar Ingi Sindrason,false,5,0,1,0,9
away,18,Gunnar Róbertsson,false,5,0,1,0,9
home,22,Gunnar Kári Bragason,false,2,0,0,0,5
away,2,Þorgils Jón Svölu Baldursson,false,3,0,1,0,5
home,20,Birkir Benediktsson,false,2,1,0,0,4
home,24,Einar Örn Sindrason,false,1,0,0,0,3
home,26,Birgir Már Birgisson,false,1,0,0,0,3
away,25,Allan Norðberg,false,2,0,1,0,3
away,88,Andri Finnsson,false,1,0,0,0,3
away,40,Þorvaldur Örn Þorvaldsson,false,1,1,0,0,2
home,1,Daníel Freyr Andrésson,true,0,0,0,0,1
home,12,Jón Þórarinn Þorsteinsson,true,0,0,0,0,1
home,15,Jakob Martin Ásgeirsson,false,1,0,1,0,1
home,9,Leonharð Þorgeir Harðarson,false,0,0,0,0,1
home,7,Ingvar Dagur Gunnarsson,false,0,0,0,0,1
home,10,Brynjar Narfi Arndal,false,0,0,0,0,1
home,2,Ágúst Birgisson,false,0,0,0,0,1
away,1,Björgvin Páll Gústavsson,true,0,0,0,0,1
away,20,Jens Sigurðarson,true,0,0,0,0,1
away,19,Dagur Leó Fannarsson,false,1,0,1,0,1
away,23,Róbert Aron Hostert,false,1,0,1,0,1
away,10,Daníel Montoro,false,0,0,0,0,1
away,14,Bjarki Snorrason,false,0,0,0,0,1
away,11,Daníel Örn Guðmundsson,false,0,0,0,0,1
away,5,Agnar Smári Jónsson,false,0,0,0,0,1
away,17,Logi Finnsson,false,0,0,0,0,1
